TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
6432;9519;09;A;   3;180101; 1;s;01;  121;-;  114;-;    5;-;    9;-;  116;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    2;-;    3;-;   -1;x;    0;-;  103;-;   -1;x;   -1;x;   -1;x;    2;-;    0;-;    4;-;    5;-;   -1;x;    0;-
6432;9519;09;A;   3;180101; 1;s;02;  276;-;  307;-;    8;-;   12;-;  267;-;   -1;x;   -1;x;   -1;x;    0;-;    1;-;    2;-;    5;-;   -1;x;    1;-;  295;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    4;-;    8;-;   -1;x;    0;-
6432;9519;09;A;   3;180101; 1;s;03;  329;-;  329;-;   12;-;   13;-;  315;-;   -1;x;   -1;x;   -1;x;    2;-;    1;-;    2;-;    9;-;   -1;x;    0;-;  313;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    5;-;    8;-;   -1;x;    3;-
6432;9519;09;A;   3;180101; 1;s;04;  250;-;  205;-;   13;-;    7;-;  237;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    1;-;   12;-;   -1;x;    0;-;  197;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    0;-;    7;-;   -1;x;    1;-
6432;9519;09;A;   3;180101; 1;s;05;  158;-;  165;-;   14;-;   14;-;  142;-;   -1;x;   -1;x;   -1;x;    1;-;    2;-;    2;-;   10;-;   -1;x;    1;-;  150;-;   -1;x;   -1;x;   -1;x;    1;-;    2;-;    5;-;    7;-;   -1;x;    0;-
6432;9519;09;A;   3;180101; 1;s;06;  150;-;  183;-;    7;-;   11;-;  139;-;   -1;x;   -1;x;   -1;x;    4;-;    0;-;    1;-;    6;-;   -1;x;    0;-;  171;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    5;-;    5;-;   -1;x;    0;-
6432;9519;09;A;   3;180101; 1;s;07;  127;-;  184;-;   10;-;   16;-;  114;-;   -1;x;   -1;x;   -1;x;    3;-;    1;-;    2;-;    7;-;   -1;x;    0;-;  165;-;   -1;x;   -1;x;   -1;x;    2;-;    0;-;    6;-;   10;-;   -1;x;    1;-
6432;9519;09;A;   3;180101; 1;s;08;  159;-;  214;-;   13;-;   14;-;  146;-;   -1;x;   -1;x;   -1;x;    0;-;    1;-;    1;-;   11;-;   -1;x;    0;-;  197;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    6;-;    8;-;   -1;x;    3;-
6432;9519;09;A;   3;180101; 1;s;09;  268;-;  318;-;   15;-;   22;-;  251;-;   -1;x;   -1;x;   -1;x;    2;-;    1;-;    4;-;   10;-;   -1;x;    0;-;  296;-;   -1;x;   -1;x;   -1;x;    0;-;    3;-;    8;-;   11;-;   -1;x;    0;-
6432;9519;09;A;   3;180101; 1;s;10;  481;-;  515;-;   25;-;   30;-;  456;-;   -1;x;   -1;x;   -1;x;    0;-;    2;-;    8;-;   15;-;   -1;x;    0;-;  476;-;   -1;x;   -1;x;   -1;x;    7;-;    0;-;   12;-;   18;-;   -1;x;    2;-
