opening_id,floor,plans,n_plans,label,type,geometry,length_cm,width_cm,diameter_cm,slab_height_cm,slab_top_m,weight_kg,pos_x_mm,pos_y_mm
U1-061,U1,0002,1,DDBØ15,Ceiling,round,,,15,35,-0.8,14.8,11275,58374
U1-062,U1,0002,1,DDBØ15,Ceiling,round,,,15,60,-0.15,25.4,9882,58374
U1-063,U1,0002,1,DDBØ15,Ceiling,round,,,15,60,-0.15,25.4,8784,58374
U1-064,U1,0002,1,DDBØ10,Ceiling,round,,,10,60,-0.15,11.3,10549,59034
U1-065,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,,30,-0.15,72.0,23081,59145
U1-066,U1,0002,1,DDBØ15,Ceiling,round,,,15,60,-0.15,25.4,8204,59610
U1-067,U1,0002,1,DDBØ15,Ceiling,round,,,15,28,-0.155,11.9,31431,60760
U1-068,U1,0002,1,DDB25/40,Ceiling,rectangular,25,40,,30,-0.15,72.0,22516,60781
U1-069,U1,0002,1,DDBØ10,Ceiling,round,,,10,28,-0.155,5.3,26779,61217
U1-070,U1,0002,1,DDBØ10,Ceiling,round,,,10,60,-0.15,11.3,10585,61293
U1-071,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,20923,61663
U1-072,U1,0002,1,DDB250/20,Ceiling,rectangular,250,20,,28,-0.155,336.0,29373,65644
U1-073,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,25152,66034
U1-074,U1,0002,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,22417,66034
U1-075,U1,0002,1,DDB130/140,Ceiling,rectangular,130,140,,30,-0.15,1310.4,10088,67518
U1-076,U1,0002,1,DDB100/270,Ceiling,rectangular,100,270,,30,-0.15,1944.0,12905,67656
U1-077,U1,0002,1,DDB55/100,Ceiling,rectangular,55,100,,30,-0.15,396.0,6910,67874
U1-078,U1,0002,1,DDB85/100,Ceiling,rectangular,85,100,,30,-0.15,612.0,8984,67874
U1-079,U1,0002,1,DDB55/25,Ceiling,rectangular,55,25,,28,-0.155,92.4,29123,68043
U1-080,U1,0002,1,DDBØ15,Ceiling,round,,,15,28,-0.155,11.9,28947,68473
U1-081,U1,0002,1,DDB55/25,Ceiling,rectangular,55,25,,30,-0.15,99.0,12421,68869
U1-082,U1,"0002, 0004",2,DDB25/100,Ceiling,rectangular,25,100,,30,-0.15,180.0,6910,69104
U1-083,U1,0002,1,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,13000,70159
U1-084,U1,0002,1,DDBØ20,Ceiling,round,,,20,30,-0.15,22.6,10236,70159
U1-085,U1,"0002, 0004",2,DDB20/50,Ceiling,rectangular,20,50,,30,-0.15,72.0,7111,73026
U1-086,U1,0003,1,DDB20/60,Ceiling,rectangular,20,60,,30,-0.15,86.4,19715,23801
U1-087,U1,0003,1,DDB20/50,Ceiling,rectangular,20,50,,30,-0.15,72.0,20227,26590
U1-088,U1,0003,1,DDB60/45,Ceiling,rectangular,60,45,,30,-0.15,194.4,10348,28369
U1-089,U1,0003,1,DDBØ10,Ceiling,round,,,10,30,-0.85,5.7,27472,31978
U1-090,U1,0003,1,DDB90/139,Ceiling,rectangular,90,139,,30,-0.85,900.7,25816,33454
U1-091,U1,0003,1,DDB114/74,Ceiling,rectangular,114,74,,30,-0.85,607.4,27013,33926
U1-092,U1,0003,1,DDB15/120,Ceiling,rectangular,15,120,,30,-0.85,129.6,26281,34417
U1-093,U1,0003,1,DDBØ15,Ceiling,round,,,15,30,-0.15,12.7,28367,36070
U1-094,U1,0003,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,16010,37128
U1-095,U1,0003,1,DDBØ20,Ceiling,round,,,20,30,-0.85,22.6,17648,40186
U1-096,U1,0003,1,DDBØ20,Ceiling,round,,,20,30,-0.85,22.6,18474,40186
U1-097,U1,"0003, 0004",2,DDB20/20,Ceiling,rectangular,20,20,,30,-0.15,28.8,29350,41477
U1-098,U1,"0003, 0004",2,DDB20/15,Ceiling,rectangular,20,15,,30,-0.15,21.6,29350,43243
U1-099,U1,0003,1,DDBØ20,Ceiling,round,,,20,30,-0.85,22.6,17648,47300
U1-100,U1,0003,1,DDBØ20,Ceiling,round,,,20,30,-0.85,22.6,18474,47300
U1-101,U1,"0003, 0004",2,DDB30/20,Ceiling,rectangular,30,20,,30,-0.15,43.2,29915,48292
U1-102,U1,0003,1,DDB50/20,Ceiling,rectangular,50,20,,30,-0.85,72.0,17207,51117
U1-103,U1,0003,1,DDB20/50,Ceiling,rectangular,20,50,,30,-0.85,72.0,16911,51117
U1-104,U1,0003,1,DDB20/50,Ceiling,rectangular,20,50,,30,-0.85,72.0,13937,51276
U1-105,U1,0003,1,DDB15/20,Ceiling,rectangular,15,20,,30,-0.15,21.6,29168,54029
U1-106,U1,0003,1,DDB60/60,Ceiling,rectangular,60,60,,30,-0.15,259.2,10441,57211
U1-107,U1,0003,1,DDB60/30,Ceiling,rectangular,60,30,,29,-0.15,125.3,10441,57678
U1-108,U1,0004,1,DDB130/140,Ceiling,rectangular,130,140,,30,-0.65,1310.4,12457,14058
U1-109,U1,0004,1,DDBØ20,Ceiling,round,,,20,30,-0.15,22.6,12459,16137
U1-110,U1,0004,1,DDB55/25,Ceiling,rectangular,55,25,,30,-0.65,99.0,14386,16487
U1-111,U1,0004,1,DDBØ15,Ceiling,round,,,15,30,-0.65,12.7,15828,16509
U1-112,U1,0004,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,8373,23361
U1-113,U1,0004,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,8373,26223
U1-114,U1,0004,1,DDBØ15,Ceiling,round,,,15,28,-0.155,11.9,16408,36038
