opening_id,floor,plans,n_plans,label,type,geometry,length_cm,width_cm,slab_height_cm,slab_top_m,weight_kg,pos_x_mm,pos_y_mm
U1-056,U1,"0003, 0004",2,DDB20/15,Ceiling,rectangular,20,15,30,-0.15,21.6,29350.0,43243.0
U1-057,U1,"0003, 0004",2,DDB20/20,Ceiling,round,20,20,30,-0.15,22.6,29350.0,41477.0
U1-058,U1,0005,1,DDB200/50,Ceiling,rectangular,200,50,25,-0.8,600.0,25271.0,73435.0
U1-059,U1,"0001, 0005",2,DDB35/65,Ceiling,rectangular,35,65,25,-0.8,136.5,15666.0,26799.0
U1-060,U1,"0001, 0005",2,DDB20/50,Ceiling,rectangular,20,50,25,-0.8,60.0,10830.0,24693.0
U1-061,U1,0005,1,DDB20/50,Ceiling,rectangular,20,50,60,-0.15,144.0,18130.0,72458.0
U1-062,U1,0005,1,DDB50/20,Ceiling,rectangular,50,20,25,-0.8,60.0,20750.0,41050.0
U1-063,U1,0006,1,DDB25/55,Ceiling,rectangular,25,55,25,-0.15,82.5,9553.0,57128.0
U1-064,U1,0006,1,DDB6/50,Ceiling,rectangular,6,50,90,-0.15,64.8,8876.0,57252.0
U1-065,U1,0006,1,DDB39/34,Ceiling,rectangular,39,34,25,-0.15,79.6,10318.0,57128.0
U1-066,U1,0006,1,DDB39/44,Ceiling,rectangular,39,44,25,-0.55,103.0,12286.0,59982.0
U1-067,U1,0006,1,DDB10/25,Ceiling,rectangular,10,25,25,-0.55,15.0,13342.0,59520.0
U1-068,U1,0006,1,DDB54/54,Ceiling,round,54,54,25,-0.55,137.4,18058.0,60155.0
U1-069,U1,0006,1,DDB35/10,Ceiling,rectangular,35,10,30,-0.15,25.2,18088.0,61229.0
U1-070,U1,0006,1,DDB84/94,Ceiling,rectangular,84,94,25,-0.55,473.8,18018.0,57769.0
U1-071,U1,0006,1,DDB160/30,Ceiling,rectangular,160,30,25,-0.55,288.0,17552.0,59876.0
U1-072,U1,0006,1,DDB154/94,Ceiling,rectangular,154,94,30,-0.15,1042.3,19307.0,60818.0
U1-073,U1,0006,1,DDB64/114,Ceiling,rectangular,64,114,25,-0.55,437.8,19233.0,57953.0
U1-074,U1,0006,1,DDB94/164,Ceiling,rectangular,94,164,25,-0.55,925.0,11330.0,58229.0
U1-075,U1,0006,1,DDB50/20,Ceiling,rectangular,50,20,25,-0.15,60.0,9308.0,27077.0
