global_id,ifc_type,name,x_m,y_m,z_m,x_min_m,y_min_m,z_min_m,x_max_m,y_max_m,z_max_m,length_m,width_m,height_m,material,thickness_m,load_bearing,is_external,reference
11Je14my97hBHYwYXU$Rkq,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072437,55.558,23.433,-5.4,54.558,23.308,-6.0,56.558,23.558,-4.8,2.0,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkt,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072438,55.558,23.433,-4.085,54.558,23.308,-4.8,56.558,23.558,-3.37,2.0,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rks,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072439,49.208,23.433,-5.4,48.208,23.308,-6.0,50.208,23.558,-4.8,2.0,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkv,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072440,49.208,23.433,-4.085,48.208,23.308,-4.8,50.208,23.558,-3.37,2.0,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rl5,IfcWallStandardCase,Basiswand:RB_W_OB_DV_300:3072452,98.964,-4.559,-8.64,98.814,-5.259,-8.94,99.114,-3.859,-8.34,0.3,1.4,0.6,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_DV_300
11Je14my97hBHYwYXU$Rl4,IfcWallStandardCase,Basiswand:RB_W_OB_DV_300:3072453,99.664,-5.109,-8.64,99.114,-5.259,-8.94,100.214,-4.959,-8.34,1.1,0.3,0.6,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_DV_300
11Je14my97hBHYwYXU$Rl7,IfcWallStandardCase,Basiswand:RB_W_OB_DV_300:3072454,100.064,-4.409,-8.64,99.914,-4.959,-8.94,100.214,-3.859,-8.34,0.3,1.1,0.6,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_DV_300
11Je14my97hBHYwYXU$Rl6,IfcWallStandardCase,Basiswand:RB_W_OB_DV_300:3072455,99.514,-4.009,-8.64,99.114,-4.159,-8.94,99.914,-3.859,-8.34,0.8,0.3,0.6,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_DV_300
11Je14my97hBHYwYXU$RZX,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072736,83.215,5.528,-1.45,83.09,0.702,-2.95,83.34,10.355,0.05,0.25,9.653,3.0,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$RZW,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072737,83.215,5.303,2.2,83.09,0.252,0.05,83.341,10.355,4.35,0.251,10.102,4.3,IfcMaterialLayerSetUsage,0.251,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$RZZ,IfcWallStandardCase,Basiswand:RB_W_OB_300:3072738,83.24,-1.273,2.2,83.09,-2.798,0.05,83.39,0.252,4.35,0.3,3.051,4.3,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_300
11Je14my97hBHYwYXU$RbX,IfcWallStandardCase,Basiswand:RB_W_DMG_120:3072864,87.251,6.439,-5.845,87.191,2.113,-7.94,87.311,10.765,-3.75,0.12,8.652,4.19,IfcMaterialLayerSetUsage,0.12,False,True,RB_W_DMG_120
11Je14my97hBHYwYXU$RbW,IfcWallStandardCase,Basiswand:RB_W_DMG_160:3072865,93.758,2.033,-5.975,87.191,1.953,-7.94,100.324,2.113,-4.01,13.133,0.16,3.93,IfcMaterialLayerSetUsage,0.16,False,True,RB_W_DMG_160
11Je14my97hBHYwYXU$RbZ,IfcWallStandardCase,Basiswand:RB_W_DMG_160:3072866,100.244,-0.922,-5.975,100.164,-3.797,-7.94,100.324,1.953,-4.01,0.16,5.75,3.93,IfcMaterialLayerSetUsage,0.16,False,True,RB_W_DMG_160
