TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
6533;9521;09;A;   3;220101; 6;s;01;  168;-;  173;-;    6;-;   14;-;  162;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    1;-;    5;-;   -1;x;    0;-;  155;-;   -1;x;   -1;x;   -1;x;    0;-;    2;-;    1;-;   11;-;   -1;x;    4;-
6533;9521;09;A;   3;220101; 6;s;02;  295;-;  306;-;    9;-;   17;-;  285;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    1;-;    8;-;   -1;x;    1;-;  287;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    0;-;   16;-;   -1;x;    1;-
6533;9521;09;A;   3;220101; 6;s;03;  269;-;  291;-;   13;-;   14;-;  254;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    2;-;   11;-;   -1;x;    2;-;  276;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    3;-;   10;-;   -1;x;    0;-
6533;9521;09;A;   3;220101; 6;s;04;  173;-;  279;-;    8;-;   14;-;  164;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    1;-;    7;-;   -1;x;    1;-;  263;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    1;-;   13;-;   -1;x;    2;-
6533;9521;09;A;   3;220101; 6;s;05;  123;-;  287;-;   11;-;   15;-;  109;-;   -1;x;   -1;x;   -1;x;    2;-;    0;-;    1;-;   10;-;   -1;x;    1;-;  266;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    5;-;    9;-;   -1;x;    5;-
6533;9521;09;A;   3;220101; 6;s;06;  136;-;  393;-;    6;-;   16;-;  127;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    1;-;    4;-;   -1;x;    2;-;  372;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    1;-;   15;-;   -1;x;    5;-
6533;9521;09;A;   3;220101; 6;s;07;  134;-;  454;-;    3;-;   10;-;  130;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    0;-;    3;-;   -1;x;    1;-;  435;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    1;-;    8;-;   -1;x;    8;-
6533;9521;09;A;   3;220101; 6;s;08;  234;-;  616;-;   10;-;   10;-;  222;-;   -1;x;   -1;x;   -1;x;    2;-;    1;-;    2;-;    7;-;   -1;x;    0;-;  601;-;   -1;x;   -1;x;   -1;x;    1;-;    0;-;    1;-;    9;-;   -1;x;    4;-
6533;9521;09;A;   3;220101; 6;s;09;  382;-;  854;-;   15;-;   18;-;  358;-;   -1;x;   -1;x;   -1;x;    3;-;    0;-;    2;-;   13;-;   -1;x;    6;-;  821;-;   -1;x;   -1;x;   -1;x;    4;-;    1;-;    3;-;   14;-;   -1;x;   11;-
6533;9521;09;A;   3;220101; 6;s;10;  626;-; 1056;-;   19;-;   18;-;  592;-;   -1;x;   -1;x;   -1;x;    8;-;    0;-;    4;-;   15;-;   -1;x;    7;-; 1024;-;   -1;x;   -1;x;   -1;x;    3;-;    0;-;    5;-;   13;-;   -1;x;   11;-
