TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
6533;9521;09;A;   3;230101; 7;s;01;  172;-;  187;-;    7;-;   11;-;  165;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    0;-;    7;-;   -1;x;    0;-;  173;-;   -1;x;   -1;x;   -1;x;    0;-;    0;-;    2;-;    9;-;   -1;x;    3;-
6533;9521;09;A;   3;230101; 7;s;02;  367;-;  423;-;   16;-;   17;-;  349;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    1;-;   14;-;   -1;x;    1;-;  402;-;   -1;x;   -1;x;   -1;x;    0;-;    2;-;    0;-;   15;-;   -1;x;    4;-
6533;9521;09;A;   3;230101; 7;s;03;  363;-;  376;-;    9;-;   18;-;  353;-;   -1;x;   -1;x;   -1;x;    0;-;    2;-;    0;-;    7;-;   -1;x;    1;-;  358;-;   -1;x;   -1;x;   -1;x;    0;-;    2;-;    3;-;   13;-;   -1;x;    0;-
6533;9521;09;A;   3;230101; 7;s;04;  231;-;  278;-;    7;-;   15;-;  223;-;   -1;x;   -1;x;   -1;x;    1;-;    2;-;    0;-;    5;-;   -1;x;    0;-;  261;-;   -1;x;   -1;x;   -1;x;    1;-;    1;-;    2;-;   12;-;   -1;x;    1;-
6533;9521;09;A;   3;230101; 7;s;05;  194;-;  250;-;   12;-;   17;-;  180;-;   -1;x;   -1;x;   -1;x;    1;-;    3;-;    3;-;    6;-;   -1;x;    1;-;  231;-;   -1;x;   -1;x;   -1;x;    2;-;    2;-;    1;-;   14;-;   -1;x;    0;-
6533;9521;09;A;   3;230101; 7;s;06;  174;-;  262;-;    7;-;   20;-;  161;-;   -1;x;   -1;x;   -1;x;    4;-;    0;-;    1;-;    6;-;   -1;x;    2;-;  238;-;   -1;x;   -1;x;   -1;x;    1;-;    3;-;    0;-;   17;-;   -1;x;    3;-
6533;9521;09;A;   3;230101; 7;s;07;  159;-;  314;-;   12;-;    8;-;  140;-;   -1;x;   -1;x;   -1;x;    3;-;    0;-;    2;-;   10;-;   -1;x;    4;-;  298;-;   -1;x;   -1;x;   -1;x;    2;-;    0;-;    0;-;    8;-;   -1;x;    6;-
6533;9521;09;A;   3;230101; 7;s;08;  238;-;  441;-;   15;-;   16;-;  217;-;   -1;x;   -1;x;   -1;x;    3;-;    1;-;    0;-;   14;-;   -1;x;    3;-;  415;-;   -1;x;   -1;x;   -1;x;    3;-;    2;-;    3;-;   11;-;   -1;x;    7;-
6533;9521;09;A;   3;230101; 7;s;09;  382;-;  696;-;   23;-;   18;-;  352;-;   -1;x;   -1;x;   -1;x;    2;-;    0;-;    4;-;   19;-;   -1;x;    5;-;  663;-;   -1;x;   -1;x;   -1;x;    2;-;    4;-;    5;-;    9;-;   -1;x;   13;-
6533;9521;09;A;   3;230101; 7;s;10;  722;-; 1047;-;   18;-;   26;-;  690;-;   -1;x;   -1;x;   -1;x;    6;-;    2;-;    4;-;   12;-;   -1;x;    8;-; 1006;-;   -1;x;   -1;x;   -1;x;    7;-;    1;-;    4;-;   21;-;   -1;x;    8;-
6533;9521;09;A;   3;230101; 7;s;11; 1360;-; 1712;-;   28;-;   30;-; 1303;-;   -1;x;   -1;x;   -1;x;   10;-;    2;-;    6;-;   20;-;   -1;x;   19;-; 1652;-;   -1;x;   -1;x;   -1;x;   10;-;    5;-;    7;-;   18;-;   -1;x;   20;-
6533;9521;09;A;   3;230101; 7;s;12; 2538;-; 2346;-;   33;-;   37;-; 2458;-;   -1;x;   -1;x;   -1;x;   17;-;    0;-;   14;-;   19;-;   -1;x;   30;-; 2266;-;   -1;x;   -1;x;   -1;x;   12;-;    5;-;   13;-;   19;-;   -1;x;   31;-
6533;9521;09;A;   3;230101; 7;s;13; 3632;-; 2860;-;   42;-;   36;-; 3535;-;   -1;x;   -1;x;   -1;x;   16;-;    3;-;   25;-;   14;-;   -1;x;   39;-; 2782;-;   -1;x;   -1;x;   -1;x;   11;-;    2;-;   18;-;   16;-;   -1;x;   31;-
